,place_coord_boundaries
4167,"[[-1.476463, 50.883056], [-1.3164712, 50.883056], [-1.3164712, 50.959599], [-1.476463, 50.959599]]"
4184,"[[-84.576827, 33.6475029], [-84.289385, 33.6475029], [-84.289385, 33.8868859], [-84.576827, 33.8868859]]"
4190,"[[-0.4430536, 50.804766], [-0.3370275, 50.804766], [-0.3370275, 50.857913], [-0.4430536, 50.857913]]"
4225,"[[73.022194, 33.662724], [73.131447, 33.662724], [73.131447, 33.762138], [73.022194, 33.762138]]"
4234,"[[-79.34914033668834, 43.684873888059535], [-79.34914033668834, 43.684873888059535], [-79.34914033668834, 43.684873888059535], [-79.34914033668834, 43.684873888059535]]"
4239,"[[-79.487651, 37.886607], [-74.986286, 37.886607], [-74.986286, 39.723622], [-79.487651, 39.723622]]"
4286,"[[-0.254563, 51.463873], [-0.177653, 51.463873], [-0.177653, 51.532901], [-0.254563, 51.532901]]"
4362,"[[-2.994831, 51.31404], [-2.8954284, 51.31404], [-2.8954284, 51.3795521], [-2.994831, 51.3795521]]"
4418,"[[-79.76259, 40.477383], [-71.777492, 40.477383], [-71.777492, 45.015851], [-79.76259, 45.015851]]"
4486,"[[-91.6110574, 41.599181], [-91.463067, 41.599181], [-91.463067, 41.6955258], [-91.6110574, 41.6955258]]"
4582,"[[83.085644, 26.488899], [83.634258, 26.488899], [83.634258, 26.999921], [83.085644, 26.999921]]"
4600,"[[-124.0634715, 46.3386718], [-124.047967, 46.3386718], [-124.047967, 46.368265], [-124.0634715, 46.368265]]"
4682,"[[-79.76259, 40.477383], [-71.777492, 40.477383], [-71.777492, 45.015851], [-79.76259, 45.015851]]"
4717,"[[35.0757711, 33.054742], [36.6232583, 33.054742], [36.6232583, 34.6919892], [35.0757711, 34.6919892]]"
4831,"[[4.7288999, 52.2782266], [5.0792072, 52.2782266], [5.0792072, 52.4312289], [4.7288999, 52.4312289]]"
4837,"[[11.360589, 48.061634], [11.722918, 48.061634], [11.722918, 48.248124], [11.360589, 48.248124]]"
