city,max_checkins,locations,total_checkins,total_engagement,max_engagement,UHS,latitude,longitude
"Hartford, Connecticut",696804,343,3138189,1863743,206503,0.8401049140125085,41.76371,-72.68509
"Surprise, Arizona",331258,309,943880,320460,20609,0.8401004364961647,33.63059,-112.33322
"Canton, Ohio",322234,299,823714,880930,240185,0.8400439958529295,40.79895,-81.37845
"Lewisville, Texas",305306,355,900014,719757,223277,0.8397636036772761,33.04623,-96.99417
"Bloomington, Indiana",738657,354,2544388,4949639,2996317,0.8396258746700582,39.16533,-86.52639
"Rialto, California",251670,341,692647,344012,80046,0.8395748483715371,34.1064,-117.37032
"Iowa City, Iowa",616602,325,1729617,1307209,168758,0.83935403040095,41.66113,-91.53017
"San Jose, California",3343477,305,8282801,8752785,4593330,0.8388586179964966,14.96823,145.61998
"Loveland, Colorado",325693,275,630178,569420,118544,0.8386344810513855,39.26895,-84.26383
"Cary, North Carolina",449374,298,808087,463681,69625,0.8378318176136975,35.79154,-78.78112
"Fort Worth, Texas",2776762,246,6664963,3289316,746122,0.8371455325408408,32.72541,-97.32085
"San Antonio, Texas",7459227,384,29367647,9125404,2630409,0.836941379743498,29.42412,-98.49363
"Yuma, Arizona",517132,296,1176572,491675,30520,0.8366457811336663,32.72532,-114.6244
"Reno, Nevada",1384583,344,6193447,2025938,117358,0.8361295414330663,39.52963,-119.8138
"Layton, Utah",20816,353,323923,638027,98231,0.8348064200442697,41.06022,-111.97105
"Corpus Christi, Texas",1605010,284,4410219,2671777,376504,0.8345256777497897,27.80058,-97.39638
"Hesperia, California",260057,268,520200,172236,14852,0.8339811610918877,34.42639,-117.30088
"Springdale, Arkansas",220325,363,543543,1690466,692683,0.8332349050581095,36.18674,-94.12881
"Decatur, Illinois",210571,256,500348,599796,109548,0.8330641873256214,39.84031,-88.9548
"Akron, Ohio",611114,348,1862366,1547292,308410,0.831922941033073,41.08144,-81.51901
"Beaumont, Texas",504444,348,1187953,969103,176111,0.8312306968373327,30.08605,-94.10185
"Waterbury, Connecticut",304742,334,795285,396196,90349,0.8312013932112388,41.55815,-73.0515
"Sugar Land, Texas",434571,206,965750,802395,231188,0.8299922340150142,29.61968,-95.63495
"Gainesville, Florida",1224683,357,2479386,2085859,674730,0.8299869403150619,29.65163,-82.32483
"Springfield, Massachusetts",517277,335,1583816,1086689,112593,0.8298558670956727,39.80172,-89.64371
"Lakeland, Florida",747585,311,1909697,1316435,213515,0.8297206310739348,28.03947,-81.9498
"Murfreesboro, Tennessee",572369,306,1139474,1054801,139253,0.8296591234201044,35.84562,-86.39027
"Pueblo, Colorado",382701,329,881132,465091,61824,0.8291164093461593,38.25445,-104.60914
"Fishers, Indiana",206068,255,712158,515822,98018,0.8288230982450524,39.95559,-86.01387
"Torrance, California",552992,346,3134096,2604182,749101,0.8286236286316693,33.83585,-118.34063
"Clifton, New Jersey",225157,318,557656,1483718,362581,0.8284497970074741,40.85843,-74.16376
"Aurora, Colorado",239951,313,795263,539158,73966,0.8282844794740859,39.72943,-104.83192
"Wyoming, Michigan",124605,316,432347,935262,232699,0.8275204870162162,43.00024,-107.5009
"Oceanside, California",1044473,326,2988181,830777,85120,0.8274866883900273,33.19587,-117.37948
"Knoxville, Tennessee",1589922,352,4728239,3309213,610019,0.8268566796221596,35.96064,-83.92074
"Union City, New Jersey",158634,254,517150,1563173,1123460,0.8267040510490187,54.68916,25.2798
"Murrieta, California",385861,306,1132095,589450,182777,0.8264288774351976,33.55391,-117.21392
"Stockton, California",784066,332,2137201,926500,113512,0.8262788572530145,37.9577,-121.29078
"Antioch, California",278028,360,614106,264361,23610,0.8260398042031831,38.00492,-121.80579
"Nampa, Idaho",17656,276,68630,121530,37272,0.8259361795133323,43.54072,-116.56346
"Concord, North Carolina",313057,276,509944,406311,42210,0.8252514001537423,43.20814,-71.53757
"Wilmington, Delaware",534372,231,1195674,1488665,493352,0.8248351975538483,39.74595,-75.54659
"Indio, California",405367,301,1152301,402893,98410,0.824785364240767,33.7207,-116.21677
"Newton, Massachusetts",232091,313,550197,1078221,683365,0.8247627667908041,33.59678,-83.86018
"Fargo, North Dakota",484343,318,1283651,1145482,93762,0.8241866363988343,46.87719,-96.7898
"South Bend, Indiana",551995,335,1477783,754771,53947,0.8239558852686761,41.68338,-86.25001
"Reading, Pennsylvania",290530,318,1245268,806138,105088,0.8237303134746898,40.33565,-75.92687
"Rochester, Minnesota",418807,336,1447423,1810047,1095466,0.8230544906361167,43.15478,-77.61556
"Kennewick, Washington",237140,281,561858,424368,35313,0.8228983123849798,46.21125,-119.13723
"Newark, New Jersey",1323788,372,4826328,7507235,5358850,0.8228632616763718,40.73566,-74.17237
"Louisville/Jefferson County, Kentucky",2697232,340,7664395,5046572,395621,0.8219395007694671,38.25424,-85.75941
"Newport Beach, California",1555895,365,4526494,3905494,654576,0.8216566729128548,33.61891,-117.92895
"Oxnard, California",554469,342,1304946,520607,43734,0.8212071610626034,34.1975,-119.17705
"El Cajon, California",291182,399,1466057,789563,156595,0.8209837680253905,32.79477,-116.96253
"Rochester, New York",1419758,335,3049070,1798331,152418,0.8194908611478254,43.15478,-77.61556
"Sioux Falls, South Dakota",701667,353,1430662,1266703,154400,0.8191047221496063,43.54997,-96.70033
"Syracuse, New York",907466,357,2609523,2321480,474088,0.8189374073345972,43.04812,-76.14742
"Hillsboro, Oregon",288662,324,576525,296846,39628,0.8180686006677941,45.52289,-122.98983
"St. Louis, Missouri",2907223,369,12146302,8594987,2405808,0.8178229060993214,38.62727,-90.19789
"Manchester, New Hampshire",444036,170,1336393,1059954,343860,0.8176038036715247,42.99564,-71.45479
"Chico, California",480555,327,1582120,1913888,840013,0.8168198366748414,39.72849,-121.83748
"Everett, Washington",381531,353,1174920,598432,33454,0.8163917543322099,47.97898,-122.20208
"Clearwater, Florida",230087,303,954215,3109737,1852197,0.8158842608846015,27.96585,-82.8001
"Mount Vernon, New York",148652,359,1036832,6205278,5531810,0.8158062251165088,40.9126,-73.83708
"Detroit, Michigan",2819124,329,15052041,8835349,2044381,0.8156086606460878,42.33143,-83.04575
"Waukesha, Wisconsin",204824,301,744357,428624,32301,0.8143525217066542,43.01168,-88.23148
"Allentown, Pennsylvania",515448,312,1594266,864163,133056,0.8140554963851704,40.60843,-75.49018
"Roseville, California",421105,300,1450902,1243734,289765,0.8133650653179884,38.75212,-121.28801
"Hoover, Alabama",226354,289,627816,499358,30277,0.8131841176395632,33.40539,-86.81138
"Trenton, New Jersey",304438,348,1034020,744693,99541,0.8130287615326589,40.21705,-74.74294
"Pasadena, Texas",382142,367,851861,564944,31776,0.8123473195744376,29.69106,-95.2091
"Pembroke Pines, Florida",462415,366,1589248,500781,79857,0.811839939392719,26.00315,-80.22394
"Fayetteville, Arkansas",601178,318,1801176,1434702,223922,0.8116958031863627,36.06258,-94.15743
"Boulder, Colorado",1411833,320,3436771,6450669,1436282,0.8109553997051302,40.01499,-105.27055
"Rancho Cucamonga, California",559432,380,1446118,9747459,8828595,0.8105002496338473,34.1064,-117.59311
"El Paso, Texas",183177,284,1153512,744163,86893,0.8100669954018683,31.75872,-106.48693
"Hammond, Indiana",170674,305,400566,218329,21927,0.8099439293399839,41.58337,-87.50004
"Cambridge, Massachusetts",1256443,356,5160662,15485751,5316026,0.8098736169894483,42.3751,-71.10561
"Hemet, California",266281,328,618703,348273,64468,0.8096000827537607,33.74761,-116.97307
"San Francisco, California",13979648,341,25636586,78964319,40981262,0.8095263152433791,37.77493,-122.41942
"Frisco, Texas",608851,313,2067349,4079184,1015797,0.8091434973001655,33.15067,-96.82361
"Lafayette, Louisiana",704652,332,1613828,1349732,133271,0.809071970494997,30.22409,-92.01984
"San Ramon, California",229324,258,689199,278290,27676,0.8085661760971795,37.77993,-121.97802
"Lawrence, Kansas",588011,296,1775445,1115115,260813,0.808441827260208,38.97167,-95.23525
"Carmel, Indiana",275020,300,939090,808383,132372,0.808283551097339,39.97837,-86.11804
"St. Paul, Minnesota",1335422,319,4845597,2602897,151917,0.8082706836742717,44.94441,-93.09327
"Lynwood, California",200633,329,1272948,715316,267625,0.8081516291317478,33.93029,-118.21146
"Portsmouth, Virginia",249810,330,1941709,1942078,322915,0.8080886476809862,36.83543,-76.29827
"Huntsville, Alabama",835252,363,2255530,2052893,284764,0.8080699436496078,34.7304,-86.58594
"Fort Myers, Florida",957129,289,2094104,1089577,213526,0.8077855732093535,26.62168,-81.84059
"Schaumburg, Illinois",249751,316,855136,607182,299436,0.8069675466826329,42.03336,-88.08341
"Lauderhill, Florida",105217,248,352244,1859775,1528755,0.8068696698879186,26.14036,-80.21338
"New Bedford, Massachusetts",248611,295,917703,790893,102819,0.8066880025454859,41.63622,-70.93421
"Waterloo, Iowa",207161,296,496144,565167,119027,0.8066408139572382,42.49276,-92.34296
"Milpitas, California",338018,389,2209018,3237597,1790714,0.8057467164142619,37.42827,-121.90662
"Danbury, Connecticut",289634,321,786195,523904,65439,0.8056919720934373,41.39482,-73.45401
"Sioux City, Iowa",280489,325,1012228,1080423,252752,0.8055240518934469,42.49999,-96.40031
"Macon, Georgia",545916,294,1714959,1112448,310154,0.805345783776755,39.84031,-88.9548
"Richmond, California",233401,384,588631,4086380,3498264,0.804614435868991,37.55376,-77.46026
"Santa Clara, California",585001,317,1262673,2969692,1262171,0.8045242117317786,37.35411,-121.95524
"Deltona, Florida",11527,290,129781,136940,14434,0.8042702706867724,28.90054,-81.26367
"Apple Valley, California",14908,263,127141,198950,68685,0.8041859038390449,34.50083,-117.18588
"Norman, Oklahoma",518417,321,1927259,2049734,661901,0.8039178958302958,35.22257,-97.43948
"Spokane Valley, Washington",142364,337,416192,305328,11108,0.8037348147009072,47.67323,-117.23937
"Albany, New York",676977,346,2509778,1295265,85369,0.803217256665729,42.65258,-73.75623
"Bakersfield, California",1456819,326,3110214,1394386,257159,0.8030203066412793,35.37329,-119.01871
"Augusta-Richmond County, Georgia",60714,281,439316,354432,29349,0.8028958653907438,33.47097,-81.97484
"Tallahassee, Florida",1417747,356,3247000,3249853,543814,0.8028530951647674,30.43826,-84.28073
"Pomona, California",498626,264,1418179,647093,184509,0.8023077481756534,34.05529,-117.75228
"Berkeley, California",989033,334,3548899,3967242,780931,0.8018788362249814,37.87159,-122.27275
"Auburn, Washington",240811,347,964986,339135,25031,0.8017463465791214,47.30732,-122.22845
"Concord, California",374797,330,1516921,527283,67216,0.8011682876036392,43.20814,-71.53757
"Livermore, California",332194,366,1397722,525483,104817,0.8011113798022783,37.68187,-121.76801
"Tracy, California",307274,315,758731,303387,22852,0.8008187354938707,37.73987,-121.42618
"Baldwin Park, California",212711,292,878059,1076267,437243,0.8002639913718782,34.08529,-117.9609
"Flagstaff, Arizona",1189954,350,2580932,1180700,442986,0.7986297198066435,35.19807,-111.65127
"Tulsa, Oklahoma",1585195,317,4918266,2229185,175506,0.7984932087853728,36.15398,-95.99277
"Roanoke, Virginia",550582,338,1658262,1744051,184423,0.7982387584109145,37.27097,-79.94143
"College Station, Texas",755446,397,2307805,1716679,626839,0.7981514902688919,30.62798,-96.33441
"Santa Ana, California",868719,283,2460169,1798172,507856,0.7976533319458948,33.74557,-117.86783
"Santa Maria, California",371933,345,1219062,2325465,1843561,0.7975131699618231,34.95303,-120.43572
"Bloomington, Illinois",272118,260,996955,622333,48226,0.796905577483437,39.16533,-86.52639
"Chino Hills, California",263183,368,1581742,490970,144535,0.796769005311865,33.9938,-117.75888
"Fairfield, California",336114,372,1378450,517596,129193,0.7965889223403098,41.16704,-73.20483
"Evanston, Illinois",354762,355,1513915,2364344,738086,0.7964390338955621,42.04114,-87.69006
"Fort Wayne, Indiana",773657,301,1999019,1143267,65211,0.7961219978399405,41.1306,-85.12886
"Somerville, Massachusetts",1256806,341,4231092,8664670,5316353,0.796105118962197,42.3876,-71.0995
"Green Bay, Wisconsin",576515,277,1366700,785396,64683,0.7956281554108436,44.51916,-88.01983
"St. Joseph, Missouri",197163,338,517162,469842,47558,0.7954316055704015,39.76861,-94.84663
"Pittsburgh, Pennsylvania",2875925,389,12055742,7099819,2071337,0.7952734058177423,40.44062,-79.99589
"Columbia, Missouri",653165,361,1859474,1954957,456832,0.7951216311709656,34.00071,-81.03481
"New Britain, Connecticut",183254,287,565062,274026,17073,0.7947357989034831,41.66121,-72.77954
"Chino, California",273465,314,793493,1731214,243126,0.794658554013709,34.01223,-117.68894
"Peoria, Illinois",249889,329,1306262,1006534,86142,0.7931900338523206,40.69365,-89.58899
"Centennial, Colorado",152902,355,1339659,1824654,413747,0.7931884158580653,39.57916,-104.87692
"Bethlehem, Pennsylvania",406905,350,2058034,1044444,91784,0.7926010940538397,40.62593,-75.37046
"Whittier, California",513281,293,1664816,475067,93833,0.7925620609124372,33.97918,-118.03284
"Springfield, Missouri",1010508,317,2818893,2501640,393200,0.7922968342537301,39.80172,-89.64371
"Merced, California",266307,375,1361378,827469,206454,0.7916471398832653,37.30216,-120.48297
"Manteca, California",223648,356,959727,315779,26440,0.791485495354408,37.79743,-121.21605
"Norwalk, Connecticut",269716,374,1077232,905361,117524,0.7909141206351092,41.1176,-73.4079
"Salinas, California",546163,313,1549108,695027,182009,0.790574963140078,18.01746,-66.25378
"Turlock, California",193031,343,748322,571468,48957,0.7905380304200598,37.49466,-120.84659
"Nashua, New Hampshire",276148,271,765623,914024,558309,0.7896170830813599,42.76537,-71.46757
"Vista, California",291719,361,989388,633204,78939,0.7896083235292929,32.64005,-117.0842
"Pharr, Texas",358314,364,1499426,766993,37984,0.7893987432524179,26.1948,-98.18362
"Wichita, Kansas",1173036,330,2964038,2506232,572827,0.7890023677159335,33.91371,-98.49339
"Tuscaloosa, Alabama",454196,337,1295506,1996702,1069912,0.7887566711385359,33.20984,-87.56917
