,city,max_checkins,locations,total_checkins,UHS,latitude,longitude,text,city_without_state,city_y,population,text2
150,"Bloomington, Indiana",738657,354,2544388,83.96258746700582,39.16533,-86.52639,UHS : 83.96258746700582<br>Checkins :2.544388 million<br>Locations : 354,Bloomington,Bloomington,0.086319,"City : Bloomington, Indiana<br>UHS : 83.96258746700582<br>Population :0.086319 million"
153,"Rialto, California",251670,341,692647,83.9574848371537,34.1064,-117.37031999999999,UHS : 83.9574848371537<br>Checkins :0.692647 million<br>Locations : 341,Rialto,Rialto,0.10191,"City : Rialto, California<br>UHS : 83.9574848371537<br>Population :0.10191 million"
154,"Iowa City, Iowa",616602,325,1729617,83.935403040095,41.66113,-91.53017,UHS : 83.935403040095<br>Checkins :1.729617 million<br>Locations : 325,Iowa City,Iowa City,0.071591,"City : Iowa City, Iowa<br>UHS : 83.935403040095<br>Population :0.071591 million"
155,"San Jose, California",3343477,305,8282801,83.88586179964966,14.968229999999998,145.61998,UHS : 83.88586179964966<br>Checkins :8.282801 million<br>Locations : 305,San Jose,San Jose,0.998537,"City : San Jose, California<br>UHS : 83.88586179964966<br>Population :0.998537 million"
156,"Loveland, Colorado",325693,275,630178,83.86344810513854,39.26895,-84.26383,UHS : 83.86344810513854<br>Checkins :0.630178 million<br>Locations : 275,Loveland,Loveland,0.071334,"City : Loveland, Colorado<br>UHS : 83.86344810513854<br>Population :0.071334 million"
157,"Cary, North Carolina",449374,298,808087,83.78318176136975,35.791540000000005,-78.78112,UHS : 83.78318176136975<br>Checkins :0.808087 million<br>Locations : 298,Cary,Cary,0.151088,"City : Cary, North Carolina<br>UHS : 83.78318176136975<br>Population :0.151088 million"
158,"Fort Worth, Texas",2776762,246,6664963,83.71455325408408,32.72541,-97.32085,UHS : 83.71455325408408<br>Checkins :6.664963 million<br>Locations : 246,Fort Worth,Fort Worth,0.792727,"City : Fort Worth, Texas<br>UHS : 83.71455325408408<br>Population :0.792727 million"
159,"San Antonio, Texas",7459227,384,29367647,83.69413797434979,29.424120000000002,-98.49363000000001,UHS : 83.69413797434979<br>Checkins :29.367647 million<br>Locations : 384,San Antonio,San Antonio,1.409019,"City : San Antonio, Texas<br>UHS : 83.69413797434979<br>Population :1.409019 million"
160,"Yuma, Arizona",517132,296,1176572,83.66457811336663,32.72532,-114.6244,UHS : 83.66457811336663<br>Checkins :1.176572 million<br>Locations : 296,Yuma,Yuma,0.091923,"City : Yuma, Arizona<br>UHS : 83.66457811336663<br>Population :0.091923 million"
161,"Reno, Nevada",1384583,344,6193447,83.61295414330662,39.52963,-119.8138,UHS : 83.61295414330662<br>Checkins :6.193447 million<br>Locations : 344,Reno,Reno,0.233294,"City : Reno, Nevada<br>UHS : 83.61295414330662<br>Population :0.233294 million"
162,"Layton, Utah",20816,353,323923,83.48064200442697,41.06022,-111.97105,UHS : 83.48064200442697<br>Checkins :0.323923 million<br>Locations : 353,Layton,Layton,0.07079,"City : Layton, Utah<br>UHS : 83.48064200442697<br>Population :0.07079 million"
163,"Corpus Christi, Texas",1605010,284,4410219,83.45256777497897,27.80058,-97.39638000000001,UHS : 83.45256777497897<br>Checkins :4.410219 million<br>Locations : 284,Corpus Christi,Corpus Christi,0.316381,"City : Corpus Christi, Texas<br>UHS : 83.45256777497897<br>Population :0.316381 million"
164,"Hesperia, California",260057,268,520200,83.39811610918876,34.426390000000005,-117.30088,UHS : 83.39811610918876<br>Checkins :0.5202 million<br>Locations : 268,Hesperia,Hesperia,0.092147,"City : Hesperia, California<br>UHS : 83.39811610918876<br>Population :0.092147 million"
165,"Springdale, Arkansas",220325,363,543543,83.32349050581095,36.18674,-94.12881,UHS : 83.32349050581095<br>Checkins :0.543543 million<br>Locations : 363,Springdale,Springdale,0.075229,"City : Springdale, Arkansas<br>UHS : 83.32349050581095<br>Population :0.075229 million"
166,"Decatur, Illinois",210571,256,500348,83.30641873256214,39.840309999999995,-88.9548,UHS : 83.30641873256214<br>Checkins :0.500348 million<br>Locations : 256,Decatur,Decatur,0.07471,"City : Decatur, Illinois<br>UHS : 83.30641873256214<br>Population :0.07471 million"
168,"Akron, Ohio",611114,348,1862366,83.1922941033073,41.08144,-81.51901,UHS : 83.1922941033073<br>Checkins :1.862366 million<br>Locations : 348,Akron,Akron,0.1981,"City : Akron, Ohio<br>UHS : 83.1922941033073<br>Population :0.1981 million"
169,"Beaumont, Texas",504444,348,1187953,83.12306968373328,30.08605,-94.10185,UHS : 83.12306968373328<br>Checkins :1.187953 million<br>Locations : 348,Beaumont,Beaumont,0.117796,"City : Beaumont, Texas<br>UHS : 83.12306968373328<br>Population :0.117796 million"
171,"Waterbury, Connecticut",304742,334,795285,83.12013932112387,41.55815,-73.0515,UHS : 83.12013932112387<br>Checkins :0.795285 million<br>Locations : 334,Waterbury,Waterbury,0.109676,"City : Waterbury, Connecticut<br>UHS : 83.12013932112387<br>Population :0.109676 million"
172,"Sugar Land, Texas",434571,206,965750,82.99922340150142,29.61968,-95.63495,UHS : 82.99922340150142<br>Checkins :0.96575 million<br>Locations : 206,Sugar Land,Sugar Land,0.08386,"City : Sugar Land, Texas<br>UHS : 82.99922340150142<br>Population :0.08386 million"
173,"Gainesville, Florida",1224683,357,2479386,82.99869403150619,29.651629999999997,-82.32483,UHS : 82.99869403150619<br>Checkins :2.479386 million<br>Locations : 357,Gainesville,Gainesville,0.127488,"City : Gainesville, Florida<br>UHS : 82.99869403150619<br>Population :0.127488 million"
174,"Springfield, Massachusetts",517277,335,1583816,82.98558670956727,39.80172,-89.64371,UHS : 82.98558670956727<br>Checkins :1.583816 million<br>Locations : 335,Springfield,Springfield,0.164122,"City : Springfield, Massachusetts<br>UHS : 82.98558670956727<br>Population :0.164122 million"
179,"Lakeland, Florida",747585,311,1909697,82.97206310739348,28.03947,-81.9498,UHS : 82.97206310739348<br>Checkins :1.909697 million<br>Locations : 311,Lakeland,Lakeland,0.10071,"City : Lakeland, Florida<br>UHS : 82.97206310739348<br>Population :0.10071 million"
180,"Murfreesboro, Tennessee",572369,306,1139474,82.96591234201044,35.845620000000004,-86.39027,UHS : 82.96591234201044<br>Checkins :1.139474 million<br>Locations : 306,Murfreesboro,Murfreesboro,0.117044,"City : Murfreesboro, Tennessee<br>UHS : 82.96591234201044<br>Population :0.117044 million"
181,"Pueblo, Colorado",382701,329,881132,82.91164093461593,38.25445,-104.60914,UHS : 82.91164093461593<br>Checkins :0.881132 million<br>Locations : 329,Pueblo,Pueblo,0.108249,"City : Pueblo, Colorado<br>UHS : 82.91164093461593<br>Population :0.108249 million"
182,"Fishers, Indiana",206068,255,712158,82.88230982450524,39.95559,-86.01387,UHS : 82.88230982450524<br>Checkins :0.712158 million<br>Locations : 255,Fishers,Fishers,0.083891,"City : Fishers, Indiana<br>UHS : 82.88230982450524<br>Population :0.083891 million"
183,"Torrance, California",552992,346,3134096,82.86236286316692,33.83585,-118.34063,UHS : 82.86236286316692<br>Checkins :3.134096 million<br>Locations : 346,Torrance,Torrance,0.147478,"City : Torrance, California<br>UHS : 82.86236286316692<br>Population :0.147478 million"
184,"Clifton, New Jersey",225157,318,557656,82.84497970074742,40.85843,-74.16376,UHS : 82.84497970074742<br>Checkins :0.557656 million<br>Locations : 318,Clifton,Clifton,0.08539,"City : Clifton, New Jersey<br>UHS : 82.84497970074742<br>Population :0.08539 million"
185,"Aurora, Colorado",239951,313,795263,82.82844794740859,39.72943,-104.83192,UHS : 82.82844794740859<br>Checkins :0.795263 million<br>Locations : 313,Aurora,Aurora,0.345803,"City : Aurora, Colorado<br>UHS : 82.82844794740859<br>Population :0.345803 million"
187,"Wyoming, Michigan",124605,316,432347,82.75204870162162,43.000240000000005,-107.5009,UHS : 82.75204870162162<br>Checkins :0.432347 million<br>Locations : 316,Wyoming,Wyoming,0.0741,"City : Wyoming, Michigan<br>UHS : 82.75204870162162<br>Population :0.0741 million"
188,"Oceanside, California",1044473,326,2988181,82.74866883900273,33.19587,-117.37948,UHS : 82.74866883900273<br>Checkins :2.988181 million<br>Locations : 326,Oceanside,Oceanside,0.172794,"City : Oceanside, California<br>UHS : 82.74866883900273<br>Population :0.172794 million"
189,"Knoxville, Tennessee",1589922,352,4728239,82.68566796221596,35.960640000000005,-83.92074000000001,UHS : 82.68566796221596<br>Checkins :4.728239 million<br>Locations : 352,Knoxville,Knoxville,0.18327,"City : Knoxville, Tennessee<br>UHS : 82.68566796221596<br>Population :0.18327 million"
190,"Union City, New Jersey",158634,254,517150,82.67040510490187,54.68916,25.2798,UHS : 82.67040510490187<br>Checkins :0.51715 million<br>Locations : 254,Union City,Union City,0.072528,"City : Union City, New Jersey<br>UHS : 82.67040510490187<br>Population :0.072528 million"
192,"Murrieta, California",385861,306,1132095,82.64288774351975,33.553909999999995,-117.21392,UHS : 82.64288774351975<br>Checkins :1.132095 million<br>Locations : 306,Murrieta,Murrieta,0.107479,"City : Murrieta, California<br>UHS : 82.64288774351975<br>Population :0.107479 million"
193,"Stockton, California",784066,332,2137201,82.62788572530145,37.9577,-121.29078,UHS : 82.62788572530145<br>Checkins :2.137201 million<br>Locations : 332,Stockton,Stockton,0.298118,"City : Stockton, California<br>UHS : 82.62788572530145<br>Population :0.298118 million"
194,"Antioch, California",278028,360,614106,82.60398042031831,38.00492,-121.80578999999999,UHS : 82.60398042031831<br>Checkins :0.614106 million<br>Locations : 360,Antioch,Antioch,0.1071,"City : Antioch, California<br>UHS : 82.60398042031831<br>Population :0.1071 million"
195,"Nampa, Idaho",17656,276,68630,82.59361795133323,43.54072,-116.56346,UHS : 82.59361795133323<br>Checkins :0.06863 million<br>Locations : 276,Nampa,Nampa,0.086518,"City : Nampa, Idaho<br>UHS : 82.59361795133323<br>Population :0.086518 million"
196,"Concord, North Carolina",313057,276,509944,82.52514001537423,43.20814,-71.53757,UHS : 82.52514001537423<br>Checkins :0.509944 million<br>Locations : 276,Concord,Concord,0.12588,"City : Concord, North Carolina<br>UHS : 82.52514001537423<br>Population :0.12588 million"
199,"Wilmington, Delaware",534372,231,1195674,82.48351975538483,39.74595,-75.54659000000001,UHS : 82.48351975538483<br>Checkins :1.195674 million<br>Locations : 231,Wilmington,Wilmington,0.112067,"City : Wilmington, Delaware<br>UHS : 82.48351975538483<br>Population :0.112067 million"
201,"Indio, California",405367,301,1152301,82.47853642407671,33.7207,-116.21677,UHS : 82.47853642407671<br>Checkins :1.152301 million<br>Locations : 301,Indio,Indio,0.083539,"City : Indio, California<br>UHS : 82.47853642407671<br>Population :0.083539 million"
202,"Newton, Massachusetts",232091,313,550197,82.47627667908041,33.596779999999995,-83.86018,UHS : 82.47627667908041<br>Checkins :0.550197 million<br>Locations : 313,Newton,Newton,0.087971,"City : Newton, Massachusetts<br>UHS : 82.47627667908041<br>Population :0.087971 million"
203,"Fargo, North Dakota",484343,318,1283651,82.41866363988343,46.87719,-96.7898,UHS : 82.41866363988343<br>Checkins :1.283651 million<br>Locations : 318,Fargo,Fargo,0.113658,"City : Fargo, North Dakota<br>UHS : 82.41866363988343<br>Population :0.113658 million"
204,"South Bend, Indiana",551995,335,1477783,82.39558852686761,41.68338,-86.25001,UHS : 82.39558852686761<br>Checkins :1.477783 million<br>Locations : 335,South Bend,South Bend,0.100886,"City : South Bend, Indiana<br>UHS : 82.39558852686761<br>Population :0.100886 million"
205,"Reading, Pennsylvania",290530,318,1245268,82.37303134746898,40.33565,-75.92687,UHS : 82.37303134746898<br>Checkins :1.245268 million<br>Locations : 318,Reading,Reading,0.087893,"City : Reading, Pennsylvania<br>UHS : 82.37303134746898<br>Population :0.087893 million"
206,"Rochester, Minnesota",418807,336,1447423,82.30544906361168,43.15478,-77.61556,UHS : 82.30544906361168<br>Checkins :1.447423 million<br>Locations : 336,Rochester,Rochester,0.210358,"City : Rochester, Minnesota<br>UHS : 82.30544906361168<br>Population :0.210358 million"
208,"Kennewick, Washington",237140,281,561858,82.28983123849798,46.21125,-119.13723,UHS : 82.28983123849798<br>Checkins :0.561858 million<br>Locations : 281,Kennewick,Kennewick,0.076762,"City : Kennewick, Washington<br>UHS : 82.28983123849798<br>Population :0.076762 million"
209,"Newark, New Jersey",1323788,372,4826328,82.28632616763718,40.735659999999996,-74.17237,UHS : 82.28632616763718<br>Checkins :4.826328 million<br>Locations : 372,Newark,Newark,0.278427,"City : Newark, New Jersey<br>UHS : 82.28632616763718<br>Population :0.278427 million"
212,"Louisville/Jefferson County, Kentucky",2697232,340,7664395,82.1939500769467,38.25424,-85.75941,UHS : 82.1939500769467<br>Checkins :7.664395 million<br>Locations : 340,Louisville/Jefferson County,Louisville/Jefferson County,0.609893,"City : Louisville/Jefferson County, Kentucky<br>UHS : 82.1939500769467<br>Population :0.609893 million"
213,"Newport Beach, California",1555895,365,4526494,82.16566729128549,33.61891,-117.92895,UHS : 82.16566729128549<br>Checkins :4.526494 million<br>Locations : 365,Newport Beach,Newport Beach,0.087273,"City : Newport Beach, California<br>UHS : 82.16566729128549<br>Population :0.087273 million"
214,"Oxnard, California",554469,342,1304946,82.12071610626033,34.1975,-119.17705,UHS : 82.12071610626033<br>Checkins :1.304946 million<br>Locations : 342,Oxnard,Oxnard,0.203007,"City : Oxnard, California<br>UHS : 82.12071610626033<br>Population :0.203007 million"
215,"El Cajon, California",291182,399,1466057,82.09837680253905,32.79477,-116.96253,UHS : 82.09837680253905<br>Checkins :1.466057 million<br>Locations : 399,El Cajon,El Cajon,0.102211,"City : El Cajon, California<br>UHS : 82.09837680253905<br>Population :0.102211 million"
216,"Rochester, New York",1419758,335,3049070,81.94908611478255,43.15478,-77.61556,UHS : 81.94908611478255<br>Checkins :3.04907 million<br>Locations : 335,Rochester,Rochester,0.210358,"City : Rochester, New York<br>UHS : 81.94908611478255<br>Population :0.210358 million"
218,"Sioux Falls, South Dakota",701667,353,1430662,81.91047221496063,43.54997,-96.70033000000001,UHS : 81.91047221496063<br>Checkins :1.430662 million<br>Locations : 353,Sioux Falls,Sioux Falls,0.164676,"City : Sioux Falls, South Dakota<br>UHS : 81.91047221496063<br>Population :0.164676 million"
219,"Syracuse, New York",907466,357,2609523,81.89374073345972,43.048120000000004,-76.14742,UHS : 81.89374073345972<br>Checkins :2.609523 million<br>Locations : 357,Syracuse,Syracuse,0.144669,"City : Syracuse, New York<br>UHS : 81.89374073345972<br>Population :0.144669 million"
220,"Hillsboro, Oregon",288662,324,576525,81.80686006677941,45.522890000000004,-122.98983,UHS : 81.80686006677941<br>Checkins :0.576525 million<br>Locations : 324,Hillsboro,Hillsboro,0.097368,"City : Hillsboro, Oregon<br>UHS : 81.80686006677941<br>Population :0.097368 million"
221,"St. Louis, Missouri",2907223,369,12146302,81.78229060993215,38.62727,-90.19789,UHS : 81.78229060993215<br>Checkins :12.146302 million<br>Locations : 369,St. Louis,St. Louis,0.318416,"City : St. Louis, Missouri<br>UHS : 81.78229060993215<br>Population :0.318416 million"
222,"Manchester, New Hampshire",444036,170,1336393,81.76038036715248,42.99564,-71.45479,UHS : 81.76038036715248<br>Checkins :1.336393 million<br>Locations : 170,Manchester,Manchester,0.110378,"City : Manchester, New Hampshire<br>UHS : 81.76038036715248<br>Population :0.110378 million"
223,"Chico, California",480555,327,1582120,81.68198366748413,39.72849,-121.83748,UHS : 81.68198366748413<br>Checkins :1.58212 million<br>Locations : 327,Chico,Chico,0.088077,"City : Chico, California<br>UHS : 81.68198366748413<br>Population :0.088077 million"
224,"Everett, Washington",381531,353,1174920,81.63917543322098,47.97898,-122.20208000000001,UHS : 81.63917543322098<br>Checkins :1.17492 million<br>Locations : 353,Everett,Everett,0.10537,"City : Everett, Washington<br>UHS : 81.63917543322098<br>Population :0.10537 million"
226,"Clearwater, Florida",230087,303,954215,81.58842608846015,27.96585,-82.8001,UHS : 81.58842608846015<br>Checkins :0.954215 million<br>Locations : 303,Clearwater,Clearwater,0.109703,"City : Clearwater, Florida<br>UHS : 81.58842608846015<br>Population :0.109703 million"
227,"Mount Vernon, New York",148652,359,1036832,81.58062251165089,40.9126,-73.83708,UHS : 81.58062251165089<br>Checkins :1.036832 million<br>Locations : 359,Mount Vernon,Mount Vernon,0.068224,"City : Mount Vernon, New York<br>UHS : 81.58062251165089<br>Population :0.068224 million"
228,"Detroit, Michigan",2819124,329,15052041,81.56086606460879,42.33143,-83.04575,UHS : 81.56086606460879<br>Checkins :15.052041 million<br>Locations : 329,Detroit,Detroit,0.688701,"City : Detroit, Michigan<br>UHS : 81.56086606460879<br>Population :0.688701 million"
229,"Waukesha, Wisconsin",204824,301,744357,81.43525217066542,43.01168,-88.23148,UHS : 81.43525217066542<br>Checkins :0.744357 million<br>Locations : 301,Waukesha,Waukesha,0.071016,"City : Waukesha, Wisconsin<br>UHS : 81.43525217066542<br>Population :0.071016 million"
230,"Allentown, Pennsylvania",515448,312,1594266,81.40554963851704,40.60843,-75.49018000000001,UHS : 81.40554963851704<br>Checkins :1.594266 million<br>Locations : 312,Allentown,Allentown,0.118577,"City : Allentown, Pennsylvania<br>UHS : 81.40554963851704<br>Population :0.118577 million"
231,"Roseville, California",421105,300,1450902,81.33650653179883,38.75212,-121.28801000000001,UHS : 81.33650653179883<br>Checkins :1.450902 million<br>Locations : 300,Roseville,Roseville,0.127035,"City : Roseville, California<br>UHS : 81.33650653179883<br>Population :0.127035 million"
233,"Hoover, Alabama",226354,289,627816,81.31841176395632,33.405390000000004,-86.81138,UHS : 81.31841176395632<br>Checkins :0.627816 million<br>Locations : 289,Hoover,Hoover,0.084126,"City : Hoover, Alabama<br>UHS : 81.31841176395632<br>Population :0.084126 million"
234,"Trenton, New Jersey",304438,348,1034020,81.30287615326588,40.21705,-74.74294,UHS : 81.30287615326588<br>Checkins :1.03402 million<br>Locations : 348,Trenton,Trenton,0.084349,"City : Trenton, New Jersey<br>UHS : 81.30287615326588<br>Population :0.084349 million"
235,"Pasadena, Texas",382142,367,851861,81.23473195744376,29.691059999999997,-95.2091,UHS : 81.23473195744376<br>Checkins :0.851861 million<br>Locations : 367,Pasadena,Pasadena,0.152735,"City : Pasadena, Texas<br>UHS : 81.23473195744376<br>Population :0.152735 million"
237,"Pembroke Pines, Florida",462415,366,1589248,81.18399393927191,26.00315,-80.22394,UHS : 81.18399393927191<br>Checkins :1.589248 million<br>Locations : 366,Pembroke Pines,Pembroke Pines,0.162329,"City : Pembroke Pines, Florida<br>UHS : 81.18399393927191<br>Population :0.162329 million"
238,"Fayetteville, Arkansas",601178,318,1801176,81.16958031863626,36.06258,-94.15743,UHS : 81.16958031863626<br>Checkins :1.801176 million<br>Locations : 318,Fayetteville,Fayetteville,0.204408,"City : Fayetteville, Arkansas<br>UHS : 81.16958031863626<br>Population :0.204408 million"
240,"Boulder, Colorado",1411833,320,3436771,81.09553997051302,40.014990000000004,-105.27055,UHS : 81.09553997051302<br>Checkins :3.436771 million<br>Locations : 320,Boulder,Boulder,0.103166,"City : Boulder, Colorado<br>UHS : 81.09553997051302<br>Population :0.103166 million"
241,"Rancho Cucamonga, California",559432,380,1446118,81.05002496338473,34.1064,-117.59311000000001,UHS : 81.05002496338473<br>Checkins :1.446118 million<br>Locations : 380,Rancho Cucamonga,Rancho Cucamonga,0.171386,"City : Rancho Cucamonga, California<br>UHS : 81.05002496338473<br>Population :0.171386 million"
242,"El Paso, Texas",183177,284,1153512,81.00669954018683,31.75872,-106.48693,UHS : 81.00669954018683<br>Checkins :1.153512 million<br>Locations : 284,El Paso,El Paso,0.674433,"City : El Paso, Texas<br>UHS : 81.00669954018683<br>Population :0.674433 million"
243,"Hammond, Indiana",170674,305,400566,80.9943929339984,41.58337,-87.50004,UHS : 80.9943929339984<br>Checkins :0.400566 million<br>Locations : 305,Hammond,Hammond,0.078967,"City : Hammond, Indiana<br>UHS : 80.9943929339984<br>Population :0.078967 million"
244,"Cambridge, Massachusetts",1256443,356,5160662,80.98736169894482,42.3751,-71.10561,UHS : 80.98736169894482<br>Checkins :5.160662 million<br>Locations : 356,Cambridge,Cambridge,0.107289,"City : Cambridge, Massachusetts<br>UHS : 80.98736169894482<br>Population :0.107289 million"
245,"Hemet, California",266281,328,618703,80.96000827537607,33.747609999999995,-116.97306999999999,UHS : 80.96000827537607<br>Checkins :0.618703 million<br>Locations : 328,Hemet,Hemet,0.08175,"City : Hemet, California<br>UHS : 80.96000827537607<br>Population :0.08175 million"
246,"San Francisco, California",13979648,341,25636586,80.95263152433792,37.77493,-122.41942,UHS : 80.95263152433792<br>Checkins :25.636586 million<br>Locations : 341,San Francisco,San Francisco,0.837442,"City : San Francisco, California<br>UHS : 80.95263152433792<br>Population :0.837442 million"
247,"Frisco, Texas",608851,313,2067349,80.91434973001655,33.15067,-96.82361,UHS : 80.91434973001655<br>Checkins :2.067349 million<br>Locations : 313,Frisco,Frisco,0.136791,"City : Frisco, Texas<br>UHS : 80.91434973001655<br>Population :0.136791 million"
248,"Lafayette, Louisiana",704652,332,1613828,80.9071970494997,30.224090000000004,-92.01984,UHS : 80.9071970494997<br>Checkins :1.613828 million<br>Locations : 332,Lafayette,Lafayette,0.124276,"City : Lafayette, Louisiana<br>UHS : 80.9071970494997<br>Population :0.124276 million"
250,"San Ramon, California",229324,258,689199,80.85661760971796,37.77993,-121.97802,UHS : 80.85661760971796<br>Checkins :0.689199 million<br>Locations : 258,San Ramon,San Ramon,0.074513,"City : San Ramon, California<br>UHS : 80.85661760971796<br>Population :0.074513 million"
251,"Lawrence, Kansas",588011,296,1775445,80.84418272602079,38.97167,-95.23525,UHS : 80.84418272602079<br>Checkins :1.775445 million<br>Locations : 296,Lawrence,Lawrence,0.090811,"City : Lawrence, Kansas<br>UHS : 80.84418272602079<br>Population :0.090811 million"
254,"Carmel, Indiana",275020,300,939090,80.8283551097339,39.97837,-86.11804000000001,UHS : 80.8283551097339<br>Checkins :0.93909 million<br>Locations : 300,Carmel,Carmel,0.085927,"City : Carmel, Indiana<br>UHS : 80.8283551097339<br>Population :0.085927 million"
255,"St. Paul, Minnesota",1335422,319,4845597,80.82706836742717,44.94441,-93.09326999999999,UHS : 80.82706836742717<br>Checkins :4.845597 million<br>Locations : 319,St. Paul,St. Paul,0.294873,"City : St. Paul, Minnesota<br>UHS : 80.82706836742717<br>Population :0.294873 million"
256,"Lynwood, California",200633,329,1272948,80.81516291317477,33.93029,-118.21146,UHS : 80.81516291317477<br>Checkins :1.272948 million<br>Locations : 329,Lynwood,Lynwood,0.071371,"City : Lynwood, California<br>UHS : 80.81516291317477<br>Population :0.071371 million"
257,"Portsmouth, Virginia",249810,330,1941709,80.80886476809862,36.83543,-76.29827,UHS : 80.80886476809862<br>Checkins :1.941709 million<br>Locations : 330,Portsmouth,Portsmouth,0.096205,"City : Portsmouth, Virginia<br>UHS : 80.80886476809862<br>Population :0.096205 million"
258,"Huntsville, Alabama",835252,363,2255530,80.80699436496079,34.7304,-86.58594000000001,UHS : 80.80699436496079<br>Checkins :2.25553 million<br>Locations : 363,Huntsville,Huntsville,0.186254,"City : Huntsville, Alabama<br>UHS : 80.80699436496079<br>Population :0.186254 million"
260,"Fort Myers, Florida",957129,289,2094104,80.77855732093535,26.621679999999998,-81.84059,UHS : 80.77855732093535<br>Checkins :2.094104 million<br>Locations : 289,Fort Myers,Fort Myers,0.06819,"City : Fort Myers, Florida<br>UHS : 80.77855732093535<br>Population :0.06819 million"
261,"Schaumburg, Illinois",249751,316,855136,80.6967546682633,42.033359999999995,-88.08341,UHS : 80.6967546682633<br>Checkins :0.855136 million<br>Locations : 316,Schaumburg,Schaumburg,0.074907,"City : Schaumburg, Illinois<br>UHS : 80.6967546682633<br>Population :0.074907 million"
262,"Lauderhill, Florida",105217,248,352244,80.68696698879187,26.14036,-80.21338,UHS : 80.68696698879187<br>Checkins :0.352244 million<br>Locations : 248,Lauderhill,Lauderhill,0.069813,"City : Lauderhill, Florida<br>UHS : 80.68696698879187<br>Population :0.069813 million"
263,"New Bedford, Massachusetts",248611,295,917703,80.66880025454859,41.63622,-70.93421,UHS : 80.66880025454859<br>Checkins :0.917703 million<br>Locations : 295,New Bedford,New Bedford,0.095078,"City : New Bedford, Massachusetts<br>UHS : 80.66880025454859<br>Population :0.095078 million"
264,"Waterloo, Iowa",207161,296,496144,80.66408139572381,42.49276,-92.34295999999999,UHS : 80.66408139572381<br>Checkins :0.496144 million<br>Locations : 296,Waterloo,Waterloo,0.068366,"City : Waterloo, Iowa<br>UHS : 80.66408139572381<br>Population :0.068366 million"
265,"Milpitas, California",338018,389,2209018,80.57467164142619,37.42827,-121.90661999999999,UHS : 80.57467164142619<br>Checkins :2.209018 million<br>Locations : 389,Milpitas,Milpitas,0.069783,"City : Milpitas, California<br>UHS : 80.57467164142619<br>Population :0.069783 million"
266,"Danbury, Connecticut",289634,321,786195,80.56919720934374,41.39482,-73.45401,UHS : 80.56919720934374<br>Checkins :0.786195 million<br>Locations : 321,Danbury,Danbury,0.083684,"City : Danbury, Connecticut<br>UHS : 80.56919720934374<br>Population :0.083684 million"
267,"Sioux City, Iowa",280489,325,1012228,80.55240518934468,42.499990000000004,-96.40031,UHS : 80.55240518934468<br>Checkins :1.012228 million<br>Locations : 325,Sioux City,Sioux City,0.082459,"City : Sioux City, Iowa<br>UHS : 80.55240518934468<br>Population :0.082459 million"
268,"Macon, Georgia",545916,294,1714959,80.5345783776755,39.840309999999995,-88.9548,UHS : 80.5345783776755<br>Checkins :1.714959 million<br>Locations : 294,Macon,Macon,0.089981,"City : Macon, Georgia<br>UHS : 80.5345783776755<br>Population :0.089981 million"
269,"Richmond, California",233401,384,588631,80.46144358689911,37.55376,-77.46025999999999,UHS : 80.46144358689911<br>Checkins :0.588631 million<br>Locations : 384,Richmond,Richmond,0.214114,"City : Richmond, California<br>UHS : 80.46144358689911<br>Population :0.214114 million"
271,"Santa Clara, California",585001,317,1262673,80.45242117317785,37.35411,-121.95523999999999,UHS : 80.45242117317785<br>Checkins :1.262673 million<br>Locations : 317,Santa Clara,Santa Clara,0.120245,"City : Santa Clara, California<br>UHS : 80.45242117317785<br>Population :0.120245 million"
272,"Deltona, Florida",11527,290,129781,80.42702706867723,28.900540000000003,-81.26366999999999,UHS : 80.42702706867723<br>Checkins :0.129781 million<br>Locations : 290,Deltona,Deltona,0.08629,"City : Deltona, Florida<br>UHS : 80.42702706867723<br>Population :0.08629 million"
273,"Apple Valley, California",14908,263,127141,80.41859038390449,34.50083,-117.18588000000001,UHS : 80.41859038390449<br>Checkins :0.127141 million<br>Locations : 263,Apple Valley,Apple Valley,0.070924,"City : Apple Valley, California<br>UHS : 80.41859038390449<br>Population :0.070924 million"
275,"Norman, Oklahoma",518417,321,1927259,80.39178958302958,35.222570000000005,-97.43948,UHS : 80.39178958302958<br>Checkins :1.927259 million<br>Locations : 321,Norman,Norman,0.118197,"City : Norman, Oklahoma<br>UHS : 80.39178958302958<br>Population :0.118197 million"
276,"Spokane Valley, Washington",142364,337,416192,80.37348147009072,47.67323,-117.23937,UHS : 80.37348147009072<br>Checkins :0.416192 million<br>Locations : 337,Spokane Valley,Spokane Valley,0.091113,"City : Spokane Valley, Washington<br>UHS : 80.37348147009072<br>Population :0.091113 million"
277,"Albany, New York",676977,346,2509778,80.3217256665729,42.65258,-73.75623,UHS : 80.3217256665729<br>Checkins :2.509778 million<br>Locations : 346,Albany,Albany,0.098424,"City : Albany, New York<br>UHS : 80.3217256665729<br>Population :0.098424 million"
280,"Bakersfield, California",1456819,326,3110214,80.30203066412793,35.373290000000004,-119.01871000000001,UHS : 80.30203066412793<br>Checkins :3.110214 million<br>Locations : 326,Bakersfield,Bakersfield,0.36363,"City : Bakersfield, California<br>UHS : 80.30203066412793<br>Population :0.36363 million"
