,city,max_checkins,locations,total_checkins,UHS,latitude,longitude,text,city_without_state,city_y,population,text2
58,"Livonia, Michigan",230603,312,612434,87.57857989595614,42.36837,-83.35271,UHS : 87.57857989595614<br>Checkins :0.612434 million<br>Locations : 312,Livonia,Livonia,0.095208,"City : Livonia, Michigan<br>UHS : 87.57857989595614<br>Population :0.095208 million"
59,"Citrus Heights, California",155778,340,582479,87.57328590386949,38.70712,-121.28106000000001,UHS : 87.57328590386949<br>Checkins :0.582479 million<br>Locations : 340,Citrus Heights,Citrus Heights,0.085285,"City : Citrus Heights, California<br>UHS : 87.57328590386949<br>Population :0.085285 million"
60,"Muncie, Indiana",278839,293,918091,87.55341246129197,40.19338,-85.38636,UHS : 87.55341246129197<br>Checkins :0.918091 million<br>Locations : 293,Muncie,Muncie,0.070316,"City : Muncie, Indiana<br>UHS : 87.55341246129197<br>Population :0.070316 million"
61,"Pompano Beach, Florida",599382,274,932155,87.5266452467669,26.237859999999998,-80.12477,UHS : 87.5266452467669<br>Checkins :0.932155 million<br>Locations : 274,Pompano Beach,Pompano Beach,0.10441,"City : Pompano Beach, Florida<br>UHS : 87.5266452467669<br>Population :0.10441 million"
62,"Southfield, Michigan",226213,338,553981,87.50661123756952,42.47337,-83.22187,UHS : 87.50661123756952<br>Checkins :0.553981 million<br>Locations : 338,Southfield,Southfield,0.073006,"City : Southfield, Michigan<br>UHS : 87.50661123756952<br>Population :0.073006 million"
63,"Huntington Beach, California",2174013,332,4881502,87.39488378781776,33.6603,-117.99923000000001,UHS : 87.39488378781776<br>Checkins :4.881502 million<br>Locations : 332,Huntington Beach,Huntington Beach,0.197575,"City : Huntington Beach, California<br>UHS : 87.39488378781776<br>Population :0.197575 million"
64,"Brockton, Massachusetts",221449,325,425508,87.20729104975699,42.08343,-71.01838000000001,UHS : 87.20729104975699<br>Checkins :0.425508 million<br>Locations : 325,Brockton,Brockton,0.094089,"City : Brockton, Massachusetts<br>UHS : 87.20729104975699<br>Population :0.094089 million"
65,"Riverside, California",1223303,293,2326019,87.10999351252075,33.95335,-117.39616000000001,UHS : 87.10999351252075<br>Checkins :2.326019 million<br>Locations : 293,Riverside,Riverside,0.316619,"City : Riverside, California<br>UHS : 87.10999351252075<br>Population :0.316619 million"
66,"Jacksonville, Florida",3715135,315,7967187,87.07256400533839,30.332179999999997,-81.65565,UHS : 87.07256400533839<br>Checkins :7.967187 million<br>Locations : 315,Jacksonville,Jacksonville,0.842583,"City : Jacksonville, Florida<br>UHS : 87.07256400533839<br>Population :0.842583 million"
68,"Overland Park, Kansas",481238,277,853794,86.86369311566958,38.98223,-94.67079,UHS : 86.86369311566958<br>Checkins :0.853794 million<br>Locations : 277,Overland Park,Overland Park,0.18126,"City : Overland Park, Kansas<br>UHS : 86.86369311566958<br>Population :0.18126 million"
69,"Newport News, Virginia",550428,345,1381249,86.84560133618197,37.08339,-76.46965,UHS : 86.84560133618197<br>Checkins :1.381249 million<br>Locations : 345,Newport News,Newport News,0.18202,"City : Newport News, Virginia<br>UHS : 86.84560133618197<br>Population :0.18202 million"
70,"League City, Texas",223024,320,641523,86.83897537578544,29.50745,-95.09493,UHS : 86.83897537578544<br>Checkins :0.641523 million<br>Locations : 320,League City,League City,0.090983,"City : League City, Texas<br>UHS : 86.83897537578544<br>Population :0.090983 million"
71,"Sparks, Nevada",253961,385,1176866,86.78022816531363,39.534909999999996,-119.75268999999999,UHS : 86.78022816531363<br>Checkins :1.176866 million<br>Locations : 385,Sparks,Sparks,0.093282,"City : Sparks, Nevada<br>UHS : 86.78022816531363<br>Population :0.093282 million"
72,"Pearland, Texas",359915,359,769957,86.77549525492982,29.563570000000002,-95.28605,UHS : 86.77549525492982<br>Checkins :0.769957 million<br>Locations : 359,Pearland,Pearland,0.100065,"City : Pearland, Texas<br>UHS : 86.77549525492982<br>Population :0.100065 million"
73,"Franklin, Tennessee",479495,301,1250014,86.75838830605097,39.96118,-82.99879,UHS : 86.75838830605097<br>Checkins :1.250014 million<br>Locations : 301,Franklin,Franklin,0.068886,"City : Franklin, Tennessee<br>UHS : 86.75838830605097<br>Population :0.068886 million"
74,"Killeen, Texas",584892,345,1041711,86.71330148188893,31.11712,-97.7278,UHS : 86.71330148188893<br>Checkins :1.041711 million<br>Locations : 345,Killeen,Killeen,0.137147,"City : Killeen, Texas<br>UHS : 86.71330148188893<br>Population :0.137147 million"
75,"Rockford, Illinois",487917,338,1354062,86.67535164564104,42.27113,-89.094,UHS : 86.67535164564104<br>Checkins :1.354062 million<br>Locations : 338,Rockford,Rockford,0.150251,"City : Rockford, Illinois<br>UHS : 86.67535164564104<br>Population :0.150251 million"
76,"Baytown, Texas",315053,379,625633,86.67413643461902,29.7355,-94.97743,UHS : 86.67413643461902<br>Checkins :0.625633 million<br>Locations : 379,Baytown,Baytown,0.075418,"City : Baytown, Texas<br>UHS : 86.67413643461902<br>Population :0.075418 million"
77,"Colorado Springs, Colorado",2545331,326,3848911,86.63887005960906,38.83388,-104.82136,UHS : 86.63887005960906<br>Checkins :3.848911 million<br>Locations : 326,Colorado Springs,Colorado Springs,0.439886,"City : Colorado Springs, Colorado<br>UHS : 86.63887005960906<br>Population :0.439886 million"
78,"Warwick, Rhode Island",85777,292,336266,86.6290377260859,41.7001,-71.41617,UHS : 86.6290377260859<br>Checkins :0.336266 million<br>Locations : 292,Warwick,Warwick,0.081971,"City : Warwick, Rhode Island<br>UHS : 86.6290377260859<br>Population :0.081971 million"
79,"Corona, California",750558,302,1330245,86.5312780728362,33.87529,-117.56643999999999,UHS : 86.5312780728362<br>Checkins :1.330245 million<br>Locations : 302,Corona,Corona,0.159503,"City : Corona, California<br>UHS : 86.5312780728362<br>Population :0.159503 million"
80,"Albany, Georgia",324749,323,625118,86.4451191615023,42.65258,-73.75623,UHS : 86.4451191615023<br>Checkins :0.625118 million<br>Locations : 323,Albany,Albany,0.098424,"City : Albany, Georgia<br>UHS : 86.4451191615023<br>Population :0.098424 million"
83,"Topeka, Kansas",444512,265,858187,86.41100366237195,39.04833,-95.67804,UHS : 86.41100366237195<br>Checkins :0.858187 million<br>Locations : 265,Topeka,Topeka,0.127679,"City : Topeka, Kansas<br>UHS : 86.41100366237195<br>Population :0.127679 million"
84,"Jersey City, New Jersey",1481481,305,2349711,86.3600672593353,40.728159999999995,-74.07764,UHS : 86.3600672593353<br>Checkins :2.349711 million<br>Locations : 305,Jersey City,Jersey City,0.257342,"City : Jersey City, New Jersey<br>UHS : 86.3600672593353<br>Population :0.257342 million"
85,"Inglewood, California",941227,338,1928048,86.33550616997087,33.96168,-118.35313000000001,UHS : 86.33550616997087<br>Checkins :1.928048 million<br>Locations : 338,Inglewood,Inglewood,0.111542,"City : Inglewood, California<br>UHS : 86.33550616997087<br>Population :0.111542 million"
