pg16328.txt  0.001625  0.001174       NaN       NaN  0.000023       NaN   

                 2005      2008      2016      2017      2018      2019  \
11-0.txt          NaN  0.000034  0.000034       NaN       NaN       NaN   
84-0.txt          NaN  0.000013       NaN       NaN  0.000013       NaN   
1342-0.txt        NaN  0.000008       NaN       NaN  0.000008       NaN   
1661-0.txt        NaN       NaN       NaN       NaN       NaN  0.000009   
1952-0.txt        NaN  0.000108       NaN  0.000108       NaN       NaN   
pg16328.txt  0.000023       NaN       NaN       NaN       NaN       NaN   

                 2025      2027       204      2053      2063       208  \
11-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
84-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
1342-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
1661-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
1952-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
pg16328.txt  0.000045  0.000068  0.000023  0.000023  0.000023  0.000023   

                   21       210      2132      2153        22       220  \
11-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
84-0.txt     0.000026       NaN       NaN       NaN  0.000026       NaN   
1342-0.txt   0.000008       NaN       NaN       NaN  0.000008       NaN   
1661-0.txt        NaN       NaN       NaN       NaN       NaN  0.000009   
1952-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
pg16328.txt  0.000248  0.000023  0.000023  0.000023  0.000113       NaN   

                 221b       222      2225      2232       224      2246  \
11-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
84-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
1342-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
1661-0.txt   0.000009       NaN       NaN       NaN       NaN       NaN   
1952-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
pg16328.txt       NaN  0.000023  0.000023  0.000023  0.000023  0.000023   

                 2247       226      22nd        23      2301      2326  \
11-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
84-0.txt          NaN       NaN       NaN  0.000026       NaN       NaN   
1342-0.txt        NaN       NaN       NaN  0.000008       NaN       NaN   
1661-0.txt        NaN  0.000009  0.000028       NaN       NaN       NaN   
1952-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
pg16328.txt  0.000023       NaN       NaN  0.000113  0.000023  0.000023   

                 2355      2386        24      2445      2447      2451  \
11-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
84-0.txt          NaN       NaN  0.000026       NaN       NaN       NaN   
1342-0.txt        NaN       NaN  0.000008       NaN       NaN       NaN   
1661-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
1952-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
pg16328.txt  0.000023  0.000023  0.000135  0.000023  0.000023  0.000045   

                 2463       249        25       250      2502     25202  \
11-0.txt          NaN       NaN  0.000034       NaN       NaN       NaN   
84-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
