parent_aggr,Volume_Name,Avg_total_ops_All_Hrs,%_Of_total_ops_All_Hrs,Avg_total_ops_Biz_Hrs,%_Of_total_ops_Biz_Hrs,Avg_total_ops_After_Hrs,%_Of_total_ops_After_Hrs
mtcntap01_04_tier02_aggr01,mtcntap01-04:mtcntap01_04_tier02_aggr01:C1036REP001_M002,11.699971020854377,0.11405175111985368,20.907267870356648,0.18699960119337422,3.7683839758012057,0.039816810269233574
mtcntap01_04_tier02_aggr01,mtcntap01-04:mtcntap01_04_tier02_aggr01:C1000REP003_M001,11.180013105563331,0.10580891465205508,11.058919517622382,0.09891361952448789,11.290308539165604,0.11282587026386202
mtcntap01_04_tier03_aggr01,mtcntap01-04:mtcntap01_04_tier03_aggr01:C1046_MGMT01,10.101146211216816,0.1160009914304216,10.244890055139857,0.11798439889126265,9.977318683018071,0.11430133913849122
prtntap01_03_tier02_aggr01,prtntap01-03:prtntap01_03_tier02_aggr01:STANDARD_STORAGE_401,9.758267496613644,0.09651029083344977,9.555668220930068,0.09507707631389582,9.933853535539395,0.09773856908051064
mtcntap01_03_tier03_aggr01,mtcntap01-03:mtcntap01_03_tier03_aggr01:temp__1129__3623__C1027REP004_S001,9.610648146666668,0.0009606135757161445,9.610648146666668,0.002196025585360084,,
mtcntap01_04_tier03_aggr01,mtcntap01-04:mtcntap01_04_tier03_aggr01:MTC_ISO,9.362021282640773,0.1075129225803191,10.604205205426574,0.12212242104581304,8.291947180481927,0.09499352450352157
mtcntap01_04_tier03_aggr01,mtcntap01-04:mtcntap01_04_tier03_aggr01:MTC_DR01_STG,7.840820145495144,0.09004353481143133,8.912724687636361,0.10264263053038077,6.917432497746987,0.07924692224558932
prtntap01_02_tier01_aggr01,prtntap01-02:prtntap01_02_tier01_aggr01:FAST_STORAGE_401,7.374324104205206,0.6454361928459788,7.300419580370633,0.6600416660782704,7.438765243890241,0.6334414777670418
mtcntap01_03_tier03_aggr01,mtcntap01-03:mtcntap01_03_tier03_aggr01:C1029REP001_AR001,6.722985316608436,0.07436610474425182,5.778928830529408,0.06734451663212536,7.529916279569834,0.07982584838519097
prtntap01_04_tier02_aggr01,prtntap01-04:prtntap01_04_tier02_aggr01:C1040FS003_M002,5.8731132756461095,0.062000828718377886,2.195005827489511,0.024828465045573764,9.060806397381825,0.09042422988547176
prtntap01_04_tier03_aggr01,prtntap01-04:prtntap01_04_tier03_aggr01:PRT_ISO,5.169018759032468,0.3359898509236896,5.728735431279722,0.3646236105070496,4.683930976418184,0.3101710966023102
mtcntap01_03_tier03_aggr01,mtcntap01-03:mtcntap01_03_tier03_aggr01:FAST_STORAGE_302_REPLICA,4.6649599907680726,0.051601318010346585,3.963945170620917,0.04619367694259318,5.264151429217877,0.05580611234756499
mtcntap01_03_tier02_aggr01,mtcntap01-03:mtcntap01_03_tier02_aggr01:C1027REP004_M003,4.2972550828012075,0.030672246728297037,4.08325798847711,0.02992031747705891,4.480168800296087,0.03128472971943841
prtntap01_01_tier01_aggr01,prtntap01-01:prtntap01_01_tier01_aggr01:TEST_NFS3,4.222053571418832,0.23781432524794394,4.209842657314686,0.25898708742051346,4.232636363642423,0.2221587230675058
