Hostname,Volume_Name,Avg_total_ops_All_Hrs,%_Of_total_ops_All_Hrs,Avg_total_ops_Biz_Hrs,%_Of_total_ops_Biz_Hrs,Avg_total_ops_After_Hrs,%_Of_total_ops_After_Hrs
prtntap01-04,prtntap01-04:prtntap01_04_tier02_aggr01:C1027UN005,1333.4969913463308,12.038751328924826,2084.5945609895116,19.90179221612044,682.5457643222427,5.88467591450954
prtntap01-03,prtntap01-03:prtntap01_03_tier02_aggr01:STANDARD_STORAGE_103,1317.8533567983768,7.955510013890831,1154.2480206223775,7.19401561379266,1459.6446481509086,8.57777301638491
mtcntap01-04,mtcntap01-04:mtcntap01_04_tier03_aggr01:C1050REPFS001,1247.610015464941,5.311613887770266,1304.4306190279276,5.069216761785027,1202.559394068572,5.539417220330015
mtcntap01-03,mtcntap01-03:mtcntap01_03_tier02_aggr01:C1032REP003_M001,1234.8255217648498,5.33673513203652,1232.9171005949677,5.52488944440269,1236.4567420944131,5.186201574184393
mtcntap01-03,mtcntap01-03:mtcntap01_03_tier03_aggr01:C1036_MGMT01,1222.9081726146392,5.285230093656867,1496.6446033058828,6.7066925804149005,988.9323407947487,4.1479837409467235
prtntap01-04,prtntap01-04:prtntap01_04_tier02_aggr01:STANDARD_STORAGE_102,1201.6896834386366,10.848800835198038,1023.8299689251745,9.774587196713112,1355.8347693503028,11.689543219381044
mtcntap01-03,mtcntap01-03:mtcntap01_03_tier02_aggr01:C1069REPFSS1_M001,1183.7382718126514,5.11594351669206,1199.1918636490198,5.3737615173727775,1170.5293357737432,4.90967526574032
mtcntap01-01,mtcntap01-01:mtcntap01_01_tier01_aggr01:DR_CLUSTER01,1101.8878706508438,41.66863946603625,1082.384327210325,40.58329798353118,1118.7617228409551,42.622764508341966
mtcntap01-04,mtcntap01-04:mtcntap01_04_tier02_aggr01:C1026REPA005,1100.7500050761496,5.769273122428227,1385.8229365986012,6.938102018089741,855.1751303309035,4.670814893843662
prtntap01-02,prtntap01-02:prtntap01_02_tier01_aggr01:FAST_STORAGE_301,1023.9143422039084,79.55989849533339,981.1120610160839,78.63396395445294,1061.2358434835369,80.3223379308709
mtcntap01-03,mtcntap01-03:mtcntap01_03_tier02_aggr01:C1027REPA007,887.2477446212948,3.8345548630815616,1029.724659582353,4.614353146389408,765.4658005484362,3.210674344388416
mtcntap01-03,mtcntap01-03:mtcntap01_03_tier02_aggr01:DR_CLUSTER02,886.7785805228921,3.8325272045318277,904.3966512150324,4.052739238866769,871.7195592050284,3.656345746911085
prtntap01-03,prtntap01-03:prtntap01_03_tier02_aggr01:C1032FS004_M001,840.0985182113644,5.071438441771847,661.4747552440555,4.122735869877875,994.9057794496977,5.846680532566648
mtcntap01-03,mtcntap01-03:mtcntap01_03_tier03_aggr01:C1032REP004_S001,832.7693950490961,3.5991074116215445,461.3600499300653,2.0674247025186565,1150.2310140614534,4.824535863419411
mtcntap01-01,mtcntap01-01:mtcntap01_01_tier01_aggr01:MTC_DR01_TIER1_1,828.7849489642473,31.341066684825503,787.6036219509092,29.530686724671273,864.4137375038762,32.93257395135353
mtcntap01-04,mtcntap01-04:mtcntap01_04_tier03_aggr01:C1027REP004_S003,777.6924755529928,3.614368125388864,780.7923314715704,3.307636749693988,775.2409555128106,3.902632391311622
mtcntap01-03,mtcntap01-03:mtcntap01_03_tier03_aggr01:C1069REPFSS1_S001,729.6140269533129,3.1532850122042437,748.6151189117649,3.3546584489743556,713.3728701396647,2.992175444675821
mtcntap01-04,mtcntap01-04:mtcntap01_04_tier02_aggr01:C1027REPA006,728.7484701275083,3.8195311763150683,928.1475110986014,4.646756775179123,556.9770071222889,3.0421096312618565
mtcntap01-04,mtcntap01-04:mtcntap01_04_tier02_aggr01:C1040REP003_M001,728.0073186333362,3.815646638159033,785.0918543075314,3.9305507470718237,678.832086094723,3.707660461224261
mtcntap01-03,mtcntap01-03:mtcntap01_03_tier02_aggr01:MTC_DR01_TIER2_3,725.9137514137652,3.137292963026401,744.5060829464701,3.336245232529898,710.0219820031291,2.978120459380355
prtntap01-04,prtntap01-04:prtntap01_04_tier02_aggr01:C1024UN001,712.8724522023698,6.435780685669558,399.58135587342656,3.814835396219104,984.3914023541207,8.487085670564152
